restaurant_name,location,item_name,price
Cafe Restaurant Polder,Science Park 201,Yoghurt met granola en gedroogd fruit en honing,6.50
Cafe Restaurant Polder,Science Park 201,Croissant met jam en boter,3.75
Cafe Restaurant Polder,Science Park 201,Tosti ham en of kaas op bruin of wit zuurdesem,5.50
Cafe Restaurant Polder,Science Park 201,Kindertosti op casino wit,3.75
Cafe Restaurant Polder,Science Park 201,Chocoladetaart VEGAN,5.00
Cafe Restaurant Polder,Science Park 201,pompoen cheesecake,4.85
Cafe Restaurant Polder,Science Park 201,Wortelcake,4.00
Cafe Restaurant Polder,Science Park 201,Red Velve",5.00
Cafe Restaurant Polder,Science Park 201,Appeltaart,4.85
Cafe Restaurant Polder,Science Park 201,Boeren belegen kaas met sla en komkommer en tomaat,7.25
Cafe Restaurant Polder,Science Park 201,Pompoenhummus met bietenblad en geroosterde kikkererwten,8.75
Cafe Restaurant Polder,Science Park 201,Pitabrood met oesterzwamgyros en ingelegde rode ui en pepermosterd,9.00
Cafe Restaurant Polder,Science Park 201,Oosterse kip met bosui en taugé en cashewnoten,8.75
Cafe Restaurant Polder,Science Park 201,Gerookte zalm met basilicummayonaise,10.75
Cafe Restaurant Polder,Science Park 201,Ciabatta kip met tomaat en bacon met jalopeños en kaas,9.75
Cafe Restaurant Polder,Science Park 201,Ciabatta paddenstoelentapenade met spinazie en tallegio,9.75
Cafe Restaurant Polder,Science Park 201,Soep van de dag,5.75
Cafe Restaurant Polder,Science Park 201,Uitsmijter ham en of kaas,10.50
Cafe Restaurant Polder,Science Park 201,Omelet ham en of kaas,10.50
Cafe Restaurant Polder,Science Park 201,Omelet forestière met paddenstoelen met gruyère en spek",12.50
Cafe Restaurant Polder,Science Park 201,Roerei met toast,7.75
Cafe Restaurant Polder,Science Park 201,3 Garnalenkroketjes met basilicummayonaise en toast,13.75
Cafe Restaurant Polder,Science Park 201,2 Rundvleeskroketten met brood,9.75
Cafe Restaurant Polder,Science Park 201,2 Paddenstoelkroketten met brood,9.75
Cafe Restaurant Polder,Science Park 201,Pannenkoek naturel met stroop of suiker,5.50
Cafe Restaurant Polder,Science Park 201,Pannenkoek met spek en of kaas,8.00
Cafe Restaurant Polder,Science Park 201,Angusburger of VEGANburger met koolsla net little gem en friet,15.75
Science Döner,Science Park 341,Kapsalon,5.50
Science Döner,Science Park 341,Durum Doner,4.00
Science Döner,Science Park 341,Broodje Doner,3.50
Science Döner,Science Park 341,Loempia,3.00
Science Döner,Science Park 341,Turkse Pizza Vlees,2.50
Science Döner,Science Park 341,Falafel Salom,4.50
Science Döner,Science Park 341,Durum Falafel,5.50
Science Döner,Science Park 341,Broodje Falafel,4.00
Science Döner,Science Park 341,Patat,3.50
Science Döner,Science Park 341,Blikje Drank,2.00
Science Döner,Science Park 341,Red Bull,1.50
Maslow Café,Carolina MacGillavrylaan 3918,Grote Brunch,13.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Libanese kip,8.50
Maslow Café,Carolina MacGillavrylaan 3918,Pita Balafel,7.75
Maslow Café,Carolina MacGillavrylaan 3918,Pita Kofte,8.50
Maslow Café,Carolina MacGillavrylaan 3918,Pita Kipsate,7.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Vegan Heaven,7.25
Maslow Café,Carolina MacGillavrylaan 3918,Pita Sabich,7.25
Maslow Café,Carolina MacGillavrylaan 3918,Pita Pittige Tempeh,7.50
Maslow Café,Carolina MacGillavrylaan 3918,Pita Veggies&Hummus,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Eiersalade,4.50
Maslow Café,Carolina MacGillavrylaan 3918,Pita Tonijnsalade,6.50
Maslow Café,Carolina MacGillavrylaan 3918,Pita Omelet Naturel,5.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Omelet Kaas,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Omelet groente,7.95
Maslow Café,Carolina MacGillavrylaan 3918,Pita Omelet kip,7.95
Maslow Café,Carolina MacGillavrylaan 3918,Huisgemaakt Hummus,4.75
Maslow Café,Carolina MacGillavrylaan 3918,Tosti Kaas en Tomaat,4.25
Maslow Café,Carolina MacGillavrylaan 3918,Tosti Kaas en Tomaat met Gerookte kip,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Tosti Tuna Melt,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Tosti Grilly Veggie,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Broodje Sweet Goat,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Broodje Roasty Ribeye,7.50
Maslow Café,Carolina MacGillavrylaan 3918,Broodje La Chick,6.95
Maslow Café,Carolina MacGillavrylaan 3918,Broodje Creamy Salon,7.50
PITA Chef,Science Park Kantine,Pita Zaatar Hummus,5.75
PITA Chef,Science Park Kantine,Pita Feta&Spinach,5.75
PITA Chef,Science Park Kantine,Pita Muhamarah Mozzarella,5.75
PITA Chef,Science Park Kantine,Wrap Falafel,6.50
PITA Chef,Science Park Kantine,Wrap Halloumi Cheese with PEsto,6.50
PITA Chef,Science Park Kantine,Wrap Doner,6.50
PITA Chef,Science Park Kantine,Wrap Crispy Chicken Tenders,6.50
PITA Chef,Science Park Kantine,Wrap Beef Kabab,6.50
PITA Chef,Science Park Kantine,Plate Falafel,7.50
PITA Chef,Science Park Kantine,Plate Chicken Tenders,7.50
PITA Chef,Science Park Kantine,Plate Kebab,7.50
EZ,Science Park Kantine,Grill Cheese Tuna Melt,5.00
EZ,Science Park Kantine,Grill Cheese Ham,4.30
EZ,Science Park Kantine,Grill Cheese Double,4.00
EZ,Science Park Kantine,Salad Pulled Chicken Ceasar,6.50
EZ,Science Park Kantine,Salad Spicy Tuny,6.50
EZ,Science Park Kantine,Salad Broccoli Fusion Bowl,4.00
EZ,Science Park Kantine,Single Smash Burger,4.50
EZ,Science Park Kantine,Double Smash Burger,5.50
EZ,Science Park Kantine,Veggie Smash Burger,5.80
EZ,Science Park Kantine,Spicy Smash Burger,5.50
EZ,Science Park Kantine,Single Smash Burger&Fries,6.50
EZ,Science Park Kantine,Double Smash Burger&Fries,7.50
EZ,Science Park Kantine,Cajun Crispy Fries,3.00
KIMBAB,Science Park KAntine,Cupbab Chicken Teriyaki,7.50
KIMBAB,Science Park KAntine,Cupbab Buldak(Hot Chicken),7.50
KIMBAB,Science Park KAntine,Cupbab Bulgogi(Marinated Beef),7.50
KIMBAB,Science Park KAntine,Cupbab Vegan(Bibimbap),7.50
KIMBAB,Science Park KAntine,Kimbab Chicken Teriyaki,3.50
KIMBAB,Science Park KAntine,Kimbab Salmon,3.50
KIMBAB,Science Park KAntine,Kimbab Tuna Mayo,3.50
KIMBAB,Science Park KAntine,Kimbab Vegan,3.00
Cafe De Oerknal,Science Park 306,Caprese sandwich,5.85
Cafe De Oerknal,Science Park 306,Egg tomato and pesto sandwich,4.15
Cafe De Oerknal,Science Park 306,Hummus sandwich,4.55
Cafe De Oerknal,Science Park 306,Muhammara sandwich,4.85
Cafe De Oerknal,Science Park 306,Goat cheese sandwich,5.25
Cafe De Oerknal,Science Park 306,Broodje gezond,5.30
Cafe De Oerknal,Science Park 306,Salmon sandwich,6.85
Cafe De Oerknal,Science Park 306,Pulled pork sandwich,6.50
Cafe De Oerknal,Science Park 306,Pulled beef sandwich,6.50
Cafe De Oerknal,Science Park 306,Pulled mushroom sandwich,6.50
Cafe De Oerknal,Science Park 306,Caesar style BBQ chicken,6.50
Cafe De Oerknal,Science Park 306,Fried eggs with cheese,8.65
Cafe De Oerknal,Science Park 306,Fried eggs with cheese and ham/salami,8.65
Cafe De Oerknal,Science Park 306,Toasted cheese sandwich,4.00
Cafe De Oerknal,Science Park 306,Toasted cheese ham/salami sandwich,4.00
Cafe De Oerknal,Science Park 306,Kroket sandwich,3.75
Cafe De Oerknal,Science Park 306,Vegetarian kroket sandwich,3.75
Cafe De Oerknal,Science Park 306,Frikandel sandwich,3.75
Cafe De Oerknal,Science Park 306,Cheese soufflé sandwich,3.75
Cafe De Oerknal,Science Park 306,Bowl of fries,5.50
Cafe De Oerknal,Science Park 306,Dutch style bitterballs,8.50
Cafe De Oerknal,Science Park 306,Vegan nuggets,8.50
Cafe De Oerknal,Science Park 306,Small cheese soufflés,8.50
Cafe De Oerknal,Science Park 306,Cheese fingers,8.50
Cafe De Oerknal,Science Park 306,Vlammetjes,8.50
Cafe De Oerknal,Science Park 306,Mixed fried snacks,17.50
Cafe De Oerknal,Science Park 306,Nacho's,9.00
Cafe De Oerknal,Science Park 306,Stacked nacho's (mushroom),13.00
Cafe De Oerknal,Science Park 306,Stacked nacho's (pork),13.00
Cafe De Oerknal,Science Park 306,Stacked nacho's (chicken),13.00
Cafe De Oerknal,Science Park 306,Chicken saté,13.75
Cafe De Oerknal,Science Park 306,Burger menu,13.75
Cafe De Oerknal,Science Park 306,Pasta siciliana,13.00
Cafe De Oerknal,Science Park 306,Classic burrito,12.00
Cafe De Oerknal,Science Park 306,Classic burrito with pulled chicken,14.00
Cafe De Oerknal,Science Park 306,Pizza margherita,11.00
Cafe De Oerknal,Science Park 306,Pizza funghi,12.00
Cafe De Oerknal,Science Park 306,Pizza salami,13.00
Cafe De Oerknal,Science Park 306,Soup of the week (vegan),6.50
Cafe De Oerknal,Science Park 306,Week menu,13.75
Cafe De Oerknal,Science Park 306,Student week menu,9.99
Cafe De Oerknal,Science Park 306,Caesar salad,13.00
Cafe De Oerknal,Science Park 306,Hummus salad ,12.00